"","Value","S","K","tau","r","BS"
"1",348.5,1394.46,1050,0.128767123287671,0.0116,"Under"
"2",149.375,1432.25,1400,0.67945205479452,0.0113,"Under"
"3",294.5,1478.9,1225,0.443835616438356,0.0112,"Under"
"4",3.375,1369.89,1500,0.117808219178082,0.0119,"Over"
"5",84,1366.42,1350,0.298630136986301,0.0119,"Under"
"6",163,1416.83,1275,0.178082191780822,0.0114,"Under"
"7",24.5,1445.57,1500,0.158904109589041,0.0112,"Over"
"8",210.5,1467.17,1275,0.180821917808219,0.0111,"Under"
"9",170.25,1464.92,1300,0.13972602739726,0.0111,"Over"
"10",164,1348.05,1300,0.8,0.012,"Under"
"11",51.5,1492.92,1475,0.104109589041096,0.011,"Over"
"12",27.25,1491.56,1500,0.0904109589041096,0.0111,"Over"
"13",271.75,1457.84,1200,0.106849315068493,0.0112,"Under"
"14",54.25,1514.09,1525,0.224657534246575,0.0109,"Over"
"15",307.375,1381.76,1150,0.791780821917808,0.0117,"Under"
"16",66.5,1464.47,1450,0.175342465753425,0.0111,"Under"
"17",44.5,1432.63,1475,0.194520547945205,0.0114,"Under"
"18",99.75,1351.26,1275,0.0904109589041096,0.0121,"Under"
"19",78,1500.64,1475,0.238356164383562,0.0108,"Over"
"20",45.5,1450.55,1500,0.221917808219178,0.0113,"Under"
"21",94,1424.24,1525,0.857534246575342,0.0114,"Under"
"22",133.5,1452.43,1450,0.635616438356164,0.0112,"Under"
"23",111,1464.92,1500,0.638356164383562,0.0111,"Under"
"24",168.25,1484.91,1350,0.257534246575342,0.0111,"Under"
"25",47.625,1360.69,1370,0.142465753424658,0.0119,"Under"
"26",90.875,1355.62,1325,0.279452054794521,0.012,"Under"
"27",93.5,1500.59,1600,0.682191780821918,0.0109,"Under"
"28",89.375,1472.87,1425,0.2,0.0112,"Under"
"29",79.125,1504.46,1485,0.186301369863014,0.0108,"Under"
"30",89,1489.26,1425,0.10958904109589,0.0111,"Under"
"31",75.5,1449.62,1475,0.389041095890411,0.0114,"Under"
"32",157,1492.25,1375,0.276712328767123,0.0111,"Under"
"33",119.5,1364.59,1275,0.104109589041096,0.012,"Under"
"34",43,1527.35,1550,0.158904109589041,0.0106,"Over"
"35",327.25,1441.48,1225,0.980821917808219,0.0113,"Under"
"36",133,1436.23,1325,0.128767123287671,0.0114,"Under"
"37",95,1379.19,1350,0.295890410958904,0.0118,"Under"
"38",87,1475.62,1500,0.435616438356164,0.0112,"Under"
"39",33,1402.05,1415,0.0876712328767123,0.0116,"Under"
"40",149.125,1411.71,1275,0.104109589041096,0.0115,"Under"
"41",41,1444.51,1440,0.0904109589041096,0.0114,"Over"
"42",56,1329.78,1425,0.427397260273973,0.0123,"Under"
"43",218.5,1475.62,1275,0.186301369863014,0.0112,"Under"
"44",50,1429.86,1425,0.147945205479452,0.0114,"Over"
"45",114.75,1508.31,1500,0.561643835616438,0.0109,"Under"
"46",139,1314.95,1200,0.13972602739726,0.0124,"Under"
"47",64,1373.86,1375,0.145205479452055,0.0119,"Under"
"48",524.875,1407.81,900,0.350684931506849,0.0116,"Under"
"49",61,1424.24,1600,0.857534246575342,0.0114,"Under"
"50",85.875,1493.74,1450,0.164383561643836,0.011,"Under"
"51",14.25,1382.95,1450,0.0876712328767123,0.0118,"Under"
"52",76,1480.87,1425,0.101369863013699,0.0111,"Under"
"53",46.125,1434.54,1455,0.158904109589041,0.0114,"Under"
"54",81,1449.05,1475,0.484931506849315,0.0114,"Over"
"55",10.25,1430.83,1525,0.128767123287671,0.0115,"Over"
"56",81.625,1387.67,1350,0.161643835616438,0.0117,"Under"
"57",45.5,1493.87,1500,0.164383561643836,0.0109,"Over"
"58",255.75,1502.51,1275,0.273972602739726,0.011,"Under"
